REGIÃO;ESTADO;NOME;CODIGO;LATITUDE;LONGITUDE;ALTITUDE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
SE;SP;SAO PAULO - MIRANTE;A701;-23.496294;-46.620088;785.64;;;;;;;0.0;0.0;0.0081967213114754;0.0;0.0;0.0;0.0;0.0;0.0191780821917808;0.0;0.0054644808743169;0.0027397260273972;0.0;0.0;0.0;0.0
NE;BA;CRUZ DAS ALMAS;A406;-12.67555554;-39.08944444;219.76;;;;0.3917808219178082;0.1229508196721311;0.2136986301369863;0.0164383561643835;0.0191780821917808;0.0081967213114754;0.0;0.0054794520547945;0.0;0.0;0.0;0.0;0.1452054794520547;0.0;0.0;0.0;0.1863013698630137;0.0027322404371584;0.5945205479452055
NE;MA;BURITICUPU;A238;-4.32055554;-46.44944444;174.91;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.284931506849315;0.210958904109589;0.6830601092896175;1.0
CO;MT;CAMPO NOVO DOS PARECIS;A905;-13.78583333;-57.8386111;525.41;;;0.0;0.0;0.0191256830601092;0.7698630136986301;0.6876712328767123;0.0;0.0109289617486338;0.8273972602739726;0.4465753424657534;0.0;0.0;0.0273972602739726;0.3095890410958904;0.0;0.0;0.0;0.0;0.0;0.0;0.7150684931506849
N;TO;RIO SONO;A050;-9.793363;-47.132732;291.0;;;;;;;;;;;;;;;;;0.0765027322404371;0.0;0.0;0.2356164383561644;0.0;0.0136986301369863
NE;CE;QUIXADA;A369;-4.97888888;-39.05722222;193.0;;;;;;;;;;;;;;;;;;;0.0027397260273972;0.0657534246575342;1.0;1.0
CO;MT;NOVA UBIRATA;A929;-13.41111111;-54.75222222;466.48;;;;;;;;;0.0519125683060109;0.2301369863013698;0.2493150684931507;0.0;0.0;0.021917808219178;0.0;0.0;0.1557377049180328;0.2520547945205479;0.0;0.0;0.1311475409836065;1.0
NE;SE;ITABAIANA;A451;-10.67166666;-37.47138888;213.0;;;;;;;;;;;;;;;;;;0.0027397260273972;0.0;0.0;0.7404371584699454;0.9972602739726028
N;TO;PEDRO AFONSO;A020;-8.968677;-48.177259;189.71;;;;;;;;0.1780821917808219;0.0054644808743169;0.0;0.0520547945205479;0.0;0.0081967213114754;0.0383561643835616;0.0;0.0082191780821917;0.0;0.0;0.0;0.0520547945205479;0.0;0.084931506849315
SE;MG;JANUARIA;A559;-15.448089;-44.366313;468.0;;;;;;;;;;;;;;;;;0.0109289617486338;0.0082191780821917;0.0;0.0;0.0;0.0054794520547945
SE;SP;SAO SIMAO;A770;-21.46111111;-47.57944443;620.0;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0027397260273972
SE;MG;POMPEU;A560;-19.23249999;-44.96416666;705.0;;;;;;;;;;;;;;;;;;;;;;0.7890410958904109
SE;MG;EB;S122;3.35888888;-59.82388888;;;;;;;;;;;;;;;;;;0.0846994535519125;0.4520547945205479;1.0;;;
CO;MS;PEDRO GOMES;S714;-18.07277777;-54.54888888;251.0;;;;;;;;;;;;;;;;;;;0.073972602739726;0.0;0.0;0.0246575342465753
CO;MT;SORRISO;A904;-12.555;-55.72277777;379.31;;;0.0;0.0;0.0273224043715847;0.0136986301369863;0.0164383561643835;0.0027397260273972;0.1775956284153005;0.2164383561643835;0.6438356164383562;0.0;0.0;0.2054794520547945;0.0;0.0;0.0;0.0;0.0;0.2219178082191781;0.3306010928961748;1.0
SE;MG;MURIAE;A517;-21.105;-42.37583332;282.79;;;;;;;0.0;0.0082191780821917;0.0;0.0;0.0;0.0164383561643835;0.0;0.0;0.0164383561643835;0.0;0.0437158469945355;0.2;0.0;0.0;0.0;0.0
SE;ES;MARILANDIA;A632;-19.407181;-40.539825;95.0;;;;;;;;;;;;;;;;;;0.0027397260273972;0.0;0.0;0.0;0.0
NE;PI;SAO RAIMUNDO NONATO;A345;-9.03333333;-42.70111111;383.13;;;;;;;;;0.0081967213114754;0.0;0.0;0.2794520547945205;0.0;0.0;0.0191780821917808;0.0575342465753424;0.0;0.0;0.0;0.0;0.0;0.0
CO;MS;PONTA PORA;A703;-22.5525;-55.71638888;668.0;;0.0;0.0027397260273972;0.8712328767123287;1.0;0.7013698630136986;0.010958904109589;0.0;0.0;0.0;0.0;0.0657534246575342;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0081967213114754;0.0
NE;PI;SAO PEDRO DO PIAUI;A362;-5.91111111;-42.7186111;287.0;;;;;;;;;;0.0027397260273972;0.0054794520547945;0.0;0.0;0.0;0.0;0.0;0.0;0.0328767123287671;0.0;;;
N;PA;SALINOPOLIS;A215;-0.61888888;-47.35666666;23.18;;;;;;;;;0.0054644808743169;0.0;0.0;0.0;0.0;0.0410958904109589;0.0821917808219178;0.021917808219178;0.0;0.021917808219178;0.0;0.1753424657534246;0.5628415300546448;0.9041095890410958
SE;ES;NOVA VENECIA;A623;-18.69527777;-40.39055555;156.02;;;;;;;;;0.0027322404371584;0.0;0.0;0.0027397260273972;0.0;0.0;0.0;0.0;0.0;0.0082191780821917;0.0164383561643835;0.0;0.0;0.0136986301369863
N;PA;BREVES;A228;-1.68027777;-50.47805554;11.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.6967213114754098;1.0
SE;SP;PRESIDENTE PRUDENTE;A707;-22.119867;-51.408637;431.92;;;;0.663013698630137;0.8852459016393442;0.0301369863013698;0.0082191780821917;0.0;0.0;0.0;0.0630136986301369;0.0;0.0;0.0;0.0;0.0;0.0054644808743169;0.0;0.0;0.0;0.0;0.0
